"Type","Path","Name","Description","Unit"
"Hierarchy","\C4. MOLINO BOLAS 04","C4. MOLINO BOLAS 04","",""
"Set","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E","3224-MOLINO BOLA04 E","",""
"Set","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE","ML-004-ESTE","",""
"Machine","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR","MOTOR","",""
"Hierarchy","\Hierarchy","Hierarchy","",""
"Set","\Hierarchy\MOLIENDA","MOLIENDA","",""
"Set","\Hierarchy\MOLIENDA\MOLINO BOLAS 04","MOLINO BOLAS 04","",""
"Set","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E","3224-MOLINO BOLA04 E","",""
"Set","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE","ML-004-ESTE","",""
"Machine","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR","MOTOR","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1HV","1HV","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1HV","1HV","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1HBaja","1HBaja","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1HBaja","1HBaja","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1EA3","1EA3","@ABC","gE"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1EA3","1EA3","@ABC","gE"
