"Type","Data Path","DTS","Note"
"Hierarchy","\C4. MOLINO BOLAS 04","",""
"Set","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E","",""
"Set","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE","",""
"Machine","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR","",""
"Hierarchy","\Hierarchy","",""
"Set","\Hierarchy\MOLIENDA","",""
"Set","\Hierarchy\MOLIENDA\MOLINO BOLAS 04","",""
"Set","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E","",""
"Set","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE","",""
"Machine","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1HV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1HV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1HBaja","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1HBaja","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1EA3","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1EA3","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1Hac","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1Hac","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1HAO","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1HAO","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1VV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1VV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1AV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1AV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1T","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\1T","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2HV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2HV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2HBaja","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2HBaja","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2EA3","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2EA3","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2Hac","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2Hac","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2HAO","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2HAO","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2VV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2VV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2AV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2AV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2T","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\MOTOR\2T","",""
"Machine","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR","",""
"Machine","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3HV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3HV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3HBaja","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3HBaja","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3HE3","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3HE3","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3Hac","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3Hac","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3VV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3VV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3AV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3AV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3AO","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3AO","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3T","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\3T","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4HV","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4HV","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4HBaja","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4HBaja","",""
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4HE3","",""
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004-ESTE\REDUCTOR\4HE3","",""
