sexo_M,sexo_F,edad,gestion_educativa_Pu,gestion_educativa_Pr,region_colegio_Lima,region_colegio_Callao,region_colegio_Prov,tipo_preparacion_Ac,tipo_preparacion2_Otr,tiempo_preparacion,academia_preparacion_CEPRE,academia_preparacion_VALLEJO,academia_preparacion_OTRO,academia_preparacion_TRILCE,academia_preparacion_PITAGORAS,academia_preparacion_PAMER,academia_preparacion_ADUNI,academia_preparacion_SACOS OLIVEROS,academia_preparacion_LOGICAL,academia_preparacion_APPU,academia_preparacion_SCIENTIA,academia_preparacion_CÍRCULO UNI-UNMSM,numeroveces_postulacion,ingreso_economico - 0 - 800,ingreso_economico - 800 - 1500,ingreso_economico - 1580 - 2000,ingreso_economico - 2000 - 3000,ingreso_economico - 3000 - 4000,ingreso_economico - 4000 - 5000,ingreso_economico - 5000 a mas,primera_prioridad_ING_ELECTRICA,primera_prioridad_ING_CIVIL,primera_prioridad_ING_SISTEMAS,primera_prioridad_ING_INDUSTRIAL,primera_prioridad_CIENCIA DE LA COMPUTACION,primera_prioridad_ARQUITECTURA,primera_prioridad_ING CIBERSEGURIDAD,primera_prioridad_ING ESTADISTICA,primera_prioridad_ING MECANICA,primera_prioridad_ING ELECTRONICA,primera_prioridad_ING QUIMICA,primera_prioridad_ING MECATRONICA,primera_prioridad_ING HIGIENE Y SEGURIDAD INDUCTRIAL,primera_prioridad_ING MINAS,primera_prioridad_ING SANITARIA,primera_prioridad_ING AMBIENTAL,primera_prioridad_ING ECONOMICA,primera_prioridad_QUIMICA,primera_prioridad_ING FISICA,primera_prioridad_ING NAVAL,primera_prioridad_ING GEOLOGICA,primera_prioridad_ING TELECOMUNICACIONES,primera_prioridad_FISICA,primera_prioridad_ING TEXTIL,primera_prioridad_ING METALURGICA,primera_prioridad_ING PETROLEO,primera_prioridad_ING PETROLEO Y GAS NATURAL,primera_prioridad_MATEMATICA,primera_prioridad_ING MECANICA RLRCTRICA,ingresante_SI,ingresante_ NO
1,0,18,1,0,1,0,0,1,0,5,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,17,1,0,0,0,1,1,0,5,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,19,0,1,1,0,0,1,0,18,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,17,1,0,0,1,0,1,0,7,1,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,17,0,1,0,0,1,1,0,5,1,0,0,1,1,1,1,1,1,1,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,19,0,1,1,0,0,1,0,5,1,0,0,1,1,1,1,1,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,18,0,1,1,0,0,1,0,5,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,19,0,1,1,0,0,1,0,18,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,19,0,1,1,0,0,1,0,10,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,21,1,0,1,0,0,1,0,48,1,0,0,1,1,1,1,1,1,1,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,18,0,1,0,0,1,1,0,12,1,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,21,0,1,1,0,0,0,1,12,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,18,1,0,1,0,0,1,0,15,1,0,0,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,17,1,0,1,0,0,1,0,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,18,0,1,1,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,18,1,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,20,0,1,1,0,0,1,0,25,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,20,1,0,1,0,0,1,0,12,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,21,1,0,1,0,0,1,0,12,1,0,0,1,1,1,1,1,1,1,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,17,1,0,1,0,0,1,0,5,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,19,0,1,1,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,47,1,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,19,1,0,1,0,0,1,0,12,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,19,0,1,1,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,20,1,0,1,0,0,1,0,15,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,17,1,0,1,0,0,1,0,5,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,19,0,1,1,0,0,1,0,12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,17,1,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,18,0,1,0,0,1,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
