title,category,date,url
"El nuevo ‘centro’ de Unacem, tras finalizar despachos a ‘Jorge Chávez’ y puerto de Chancay",Empresas,31/05/2025,/economia/empresas/
¿Una denuncia ante Sunafil protege al trabajador del despido? La Corte aclara,Economía,31/05/2025,/economia/
Transferencia tecnológica por concesiones: ¿el nuevo trato con las grandes empresas?,Empresas,31/05/2025,/economia/empresas/
"¿Qué pasó en GESTIÓN un día como hoy, 31 de mayo?",Tendencias,31/05/2025,/tendencias/
"Sin visa a China: razones, expectativas en Perú y lo que pasará vencido el plazo",Reportaje,31/05/2025,/g-de-gestion/reportaje/
¿Por qué Arequipa? Este fabricante suizo de relojes premium da su primer salto fuera de Lima,Reportaje,31/05/2025,/g-de-gestion/reportaje/
SUNAT traslada punto de devolución del IGV al nuevo Aeropuerto Jorge Chávez,Economía,31/05/2025,/economia/
Ferreyros refuerza su presencia en el sur con ampliación de talleres en La Joya,Empresas,31/05/2025,/economia/empresas/
No solo acciones: Este ETF permite invertir indirectamente en el puerto de Chancay ,Tu Dinero,31/05/2025,/tu-dinero/
"Autorizan ingreso de 150,000 plantas de arándano desde Chile",Economía,31/05/2025,/economia/
Nuevo dueño de Telefónica del Perú: “A marzo del 2026 debemos estar operando en superávit”,Reportaje,31/05/2025,/g-de-gestion/reportaje/
"Trump sobre las limitaciones a los visados: “Queremos a estudiantes, no a alborotadores”",EEUU,31/05/2025,/mundo/eeuu/
ONPE acumula más de 77 mil equipos inoperativos a un año de las elecciones 2026,Política,31/05/2025,/peru/politica/
Nuevo Jorge Chávez: todo lo que debe saber sobre el inicio oficial de operaciones,Perú,31/05/2025,/peru/
Aprueban nueva política nacional del consumidor al 2030: ¿en qué consiste?,Perú,31/05/2025,/peru/
Joe Biden anuncia que ya inició tratamiento contra el cáncer de próstata,EEUU,31/05/2025,/mundo/eeuu/
"Sueldo en Perú en aumento, aunque se dinamiza en cierto seniority: ¿de cuál se trata?",Management & Empleo,31/05/2025,/economia/management-empleo/
Jubilación: ¿se puede seguir trabajando en planilla luego de los 65 años? Esto dice la ley,Economía,31/05/2025,/economia/
Tres nuevas aerolíneas internacionales llegarán a Lima a partir de 2026,Economía,31/05/2025,/economia/
Mercados e indicadores –  viernes 30 de mayo,Mercados,31/05/2025,/economia/mercados/
Sigue estos consejos para evitar las alertas de lavado de dinero si haces retiros grandes ,Respuestas,31/05/2025,/mix/respuestas/
Cuáles son las carreras universitarias peor pagadas los primeros años de trabajo,Respuestas,31/05/2025,/mix/respuestas/
Este es el cronograma de pagos del Seguro Social para junio de 2025,Respuestas,31/05/2025,/mix/respuestas/
Política de visados en EE. UU.: se confirmaron cambios alarmantes que afectan a miles de inmigrantes,Respuestas,31/05/2025,/mix/respuestas/
47 frases para el Día Mundial de las Madres y los Padres: mensajes para expresar admiración este 1 de junio,Respuestas,31/05/2025,/mix/respuestas/
Carlos Herrera Descalzi sobre mesa de diálogo en Pataz: “No hay plan ni inteligencia”,Política,30/05/2025,/peru/politica/
Aeropuerto de Chinchero: cómo la meta 2025 para Obras Por Impuestos marcaría un avance fuerte,Economía,30/05/2025,/economia/
Perú y Tailandia reanudan conversaciones para profundizar su vínculo comercial,Perú,30/05/2025,/peru/
Pulso bursátil: reporte de mercado de capitales al 30 de mayo,Economía,30/05/2025,/videos/economia/
Banco Mundial sobre déficit fiscal y pobreza en Perú: Qué se espera a corto y largo plazo,Economía,30/05/2025,/economia/
ONU: toda la Franja de Gaza al borde de la hambruna por ataques de Israel ,Internacional,30/05/2025,/mundo/internacional/
"Nuevos afiliados a la AFP serán incorporados a Profuturo, ¿desde cuándo?",Perú,30/05/2025,/peru/
"Oxxo, Tanta y más: lista de restaurantes y locales del nuevo aeropuerto Jorge Chávez",Lifestyle,30/05/2025,/g-de-gestion/lifestyle/
De sobrevivir a los nazis a inventar la píldora abortiva: Étienne-Émile Baulieu fallece a los 98 años,Internacional,30/05/2025,/mundo/internacional/
Cinco acciones clave para prevenir accidentes laborales y garantizar operaciones seguras,Empresas,30/05/2025,/economia/empresas/
"Dólar acentúa caída en mayo, ¿romperá piso de S/ 3.60 en junio?",Tu Dinero,30/05/2025,/tu-dinero/
¿Minería de oro dirá al fin “adiós” al Reinfo? Este es el texto que debatirá el Congreso,Economía,30/05/2025,/economia/
"¿Qué pasó en GESTIÓN un día como hoy, 30 de mayo?",Tendencias,30/05/2025,/tendencias/
¿Buscas empleo o deseas mejorar tu posición? Estas son las prioridades de las empresas,Management & Empleo,30/05/2025,/economia/management-empleo/
Congreso: proponen ampliar reducción del IGV hasta 2030 para negocios turísticos,Economía,30/05/2025,/economia/
Marcas peruanas revelan cuatro claves para crecer online y offline,Empresas,30/05/2025,/economia/empresas/
Competencia desleal: ¿Es falta grave tener un negocio similar al de tu empleador?,Economía,30/05/2025,/economia/
"Natura, tras resultados decepcionantes, busca crecer en mercado dominado por L’Oréal",México,30/05/2025,/mundo/mexico/
Rutas de Lima: Rafael López Aliaga sufre nuevo “revés” de la justicia de Estados Unidos,Economía,30/05/2025,/economia/
“Mi mayor sueño”: Taylor Swift anuncia que ya es propietaria de su música,Internacional,30/05/2025,/mundo/internacional/
El pastor evangélico que “guía” a Dina Boluarte: ¿Qué dice el Gobierno? ,Política,30/05/2025,/peru/politica/
Venezuela dice tener “plan secreto” para sortear sanciones petroleras,Internacional,30/05/2025,/mundo/internacional/
Martín Vizcarra acude a la CIDH para postular en las elecciones 2026,Política,30/05/2025,/peru/politica/
¿Ahorrar o pagar deudas? Tres pasos para tomar el control de tus finanzas personales,Finanzas Personales,30/05/2025,/tu-dinero/finanzas-personales/
“Las vidas estadounidenses no son sustituibles”: Trump ordena expulsión de familia de inmigrante involucrado en accidente fatal en Colorado ,Respuestas,30/05/2025,/mix/respuestas/
Diego Armando Maradona: ¿por qué se anuló el juicio contra su personal médico?,Internacional,29/05/2025,/mundo/internacional/
¿Cómo se construye un legado empresarial? 3 acciones que te ayudarán a construirlo,Lifestyle,29/05/2025,/g-de-gestion/lifestyle/
Comuneros han tomado la unidad minera de Barrick en Huaraz  ,Perú,29/05/2025,/peru/
Marisol Pérez Tello descarta renuncia a Primero La Gente tras acusación de firmas falsas,Perú,29/05/2025,/peru/
Alcalde Ancón: se requiere ampliación de la Línea 3 del Metro de Lima ,Perú,29/05/2025,/peru/
Más de 50 lagunas glaciares en riesgo “muy alto de desborde”: ¿en qué regiones? ,Perú,29/05/2025,/peru/
Ciberseguridad para Pymes: ¿Qué deben tener en cuenta los emprendedores?,Tecnología,29/05/2025,/tecnologia/
PJ evaluará en segunda instancia la apelación de Ollanta Humala y Nadine Heredia,Política,29/05/2025,/peru/politica/
Fiscalía da a conocer que exministro Gustavo Bobbio es investigado por rebelión,Política,29/05/2025,/peru/politica/
Poder Judicial rechaza pedido de Fiscalía para adelantar juicio oral a Susana Villarán,Política,29/05/2025,/peru/politica/
Loreto: Piden el ingreso del personal de Petroperú para mitigar el impacto por derrame de petróleo,Perú,29/05/2025,/peru/
"Preocupación de los inversionistas vira al déficit fiscal, ¿qué riesgos hay para el Perú?",Economía,29/05/2025,/economia/
"MEF recomendará observar norma que permite retiro de fondos de AFP, si el Congreso la aprueba ",Tu Dinero,29/05/2025,/tu-dinero/
Antonio Sola: “Hoy en día Carlos Álvarez puede capitalizar una figura más antisistema”,Política,29/05/2025,/peru/politica/
"Pataz: capturan a “Los Sicarios de Cuchillo”, implicados en asesinato de 13 personas",Perú,29/05/2025,/peru/
Préstamos sin intereses a víctimas de la delincuencia: la nueva idea del Congreso,Economía,29/05/2025,/economia/
Universidad Agraria desarrolla suplemento nutricional y alimentos funcionales: Los proyectos,Perú,29/05/2025,/peru/
Envíos de dinero de Perú a Colombia se duplican impulsados por canales digitales,Tu Dinero,29/05/2025,/tu-dinero/
Sociedad Nacional de Radio y Televisión rechaza ley que obliga a medios conceder el 10% de su franja,Perú,29/05/2025,/peru/
Talma estrena base en el nuevo Jorge Chávez con inversión millonaria: así será su traslado exprés ,Perú,29/05/2025,/peru/
Pedro Castillo: abogado asegura que mensaje del golpe de Estado fue editado con IA,Política,29/05/2025,/peru/politica/
"Fueron aprobados 87 proyectos mineros por US$ 8,400 millones  tras evaluación ambiental",Economía,29/05/2025,/economia/
"Banco de la Nación ofrecerá servicios de factoring desde este año, ¿bajarán las comisiones? ",Mercados,29/05/2025,/economia/mercados/
Atrapados en reuniones: labores de oficina y productividad en Perú en la visión de ejecutivos,Empresas,29/05/2025,/economia/empresas/
Fiscalía pide al PJ revocar la resolución que ordenó devolver 67 bienes electrónicos a Vizcarra,Política,29/05/2025,/peru/politica/
La apuesta de Camposol por la energía en norte de Perú: nueva planta solar a la vista,Empresas,28/05/2025,/economia/empresas/
PPX Mining tras más oro y plata: amplía programa de perforación en mina Callanquitas ,Empresas,28/05/2025,/economia/empresas/
Carlton Precious eleva financiamiento para impulsar exploración minera en Puno,Empresas,28/05/2025,/economia/empresas/
"Vóley peruano de luto: falleció Lucha Fuentes, leyenda del deporte nacional",Tendencias,28/05/2025,/tendencias/
"Canon por producción de gas y petróleo sumó S/ 836 millones en primeros meses del 2025, ¿qué regiones recibieron más?",Economía,28/05/2025,/economia/
AFP y ONP: MEF publicó proyecto de reglamento de la ley de reforma del sistema previsional,Economía,28/05/2025,/economia/
Perú cerró participación en feria de café en EE.UU. con negocios por US$ 56.7 millones,Economía,28/05/2025,/economia/
Este es el magnate argentino del litio que ahora controla Telefónica en Perú,Reportaje,28/05/2025,/g-de-gestion/reportaje/
"Hernando de Soto renuncia a Progresemos, sale de la carrera por la presidencia ",Política,28/05/2025,/peru/politica/
Rafael López Aliaga propone que criminales en Perú sean enviados al CECOT en El Salvador,Perú,28/05/2025,/peru/
Ejecutivo anuncia aumento en Pensión 65: ¿De cuánto será y cuándo empieza a aplicarse?,Perú,28/05/2025,/peru/
"“Tren Macho”, se firmó el contrato de concesión de la APP,  meses después de lo previsto",Economía,28/05/2025,/economia/
Premier Arana cuestiona a la Fiscalía: “Pretende vulnerar la competencia del Congreso”,Perú,28/05/2025,/peru/
"Anuncian prórroga de estado de emergencia por lluvias en Lima, Cusco, Ancash, Ayacucho y Ucayali ",Perú,28/05/2025,/peru/
Premier Arana anuncia que el lunes se inicia diálogo con bancadas parlamentarias,Política,28/05/2025,/peru/politica/
Pataz: Despliegan drones de alta tecnología para reforzar control contra la minería ilegal,Perú,28/05/2025,/peru/
Elmer Schialer: Dina Boluarte “sí fue invitada” a EE.UU. y “ovacionada” en Ecuador,Política,28/05/2025,/peru/politica/
Gustavo Adrianzén será representante permanente de Perú en la ONU,Política,28/05/2025,/peru/politica/
Renovación Popular impulsa ley para eliminar gasto estatal en consultorías y eventos,Política,28/05/2025,/peru/politica/
Priorizan 26 cadenas productivas para mejorar competitividad de la región San Martín,Perú,28/05/2025,/peru/
¿Quieres empezar a ahorrar? Sigue estas recomendaciones para abrir tu cuenta de ahorros,Tu Dinero,28/05/2025,/tu-dinero/
Empresas privadas en el control de cárceles peruanas: ¿qué funciones cumplirán?,Perú,28/05/2025,/peru/
Confirman infracción de Iberia por impedir vuelo a pasajeras con boletos válidos,Perú,28/05/2025,/peru/
Final de la Champions League 2025: PSG se enfrenta al Inter ¿Cómo van las apuestas?,Tendencias,28/05/2025,/tendencias/
Una mujer de Carolina del Norte ganó $150 mil en el Powerball: en este local compró su boleto de la suerte,Respuestas,28/05/2025,/mix/respuestas/
"Obras por Impuestos: ProInversión destrabó 222 proyectos, ¿en qué sectores?",Economía,27/05/2025,/economia/
Reniec aplicará reconocimiento facial para inscripción en partidos políticos,Política,27/05/2025,/peru/politica/
Donald Trump arremete contra Vladimir Putin: “Está jugando con fuego”,Internacional,27/05/2025,/mundo/internacional/
EE.UU. pausa la emisión de visas de estudiantes para evaluar sus redes sociales,Internacional,27/05/2025,/mundo/internacional/
"Tosferina: 642 casos se han registrado en Perú, según el Centro Nacional de Epidemiología",Perú,27/05/2025,/peru/
"Trump Media recaudará US$ 2,500 millones para invertir en bitcoins",Internacional,27/05/2025,/mundo/internacional/
Turquía revela una receta milenaria: recrean pan de 5 mil años de antigüedad,Mundo,27/05/2025,/videos/mundo/
APP nombra a Martín Salas como su nuevo vocero político con miras a las elecciones generales,Política,27/05/2025,/peru/politica/
