title,category,summit,date,url
Más de 5 mil peruanos han recibido su DNI electrónico 3.0 en el exterior,Política,El Registro Nacional de Identificación y Estado Civil y la Cancillería peruana coordinan e impulsan la tramitación del DNIe que permitirá a los peruanos residentes en exterior votar de manera digital en las elecciones de 2026.,2025-05-31 19:24,/politica/mas-de-5-mil-peruanos-recibieron-su-dni-electronico-30-en-el-exterior/
¡DESALMADO! Sicario asesina a pareja y su mascota dentro de mototaxi en El Agustino,Policiales,Personal de la Depincri de El Agustino se encuentra a cargo de las investigaciones para dar con el responsable de este crimen.,2025-05-31 19:21,/policiales/el-agustino-sicario-asesina-pareja-y-su-mascota-dentro-de-mototaxi-policiales-lima/
Maltrato animal en San Miguel: Mujer abandona a sus dos perritos en plena pista (VIDEO),Lima,Las cámaras de seguridad del distrito captaron el momento exacto en que la mujer deja atrás a los canes.,2025-05-31 19:00,/lima/san-miguel-mujer-abandona-sus-dos-perritos-en-plena-pista-video/
AFP: Reducen las comisiones en el Sitema Privado de Pensiones,Economía,Profuturo AFP ganó la última licitación de nuevos afiliados.,2025-05-31 18:29,/economia/afp-reducen-las-comisiones-en-el-sitema-privado-de-pensiones/
Virtuoso: la fuerza y el arte masculino aterrizan en Lima,Espectáculos,"El espectáculo “Dioses del Circo: Virtuoso” se estrenará el 18 de julio en la Cúpula de las Artes con una propuesta que reúne acrobacias, danza, fuerza y malabares a cargo de 16 artistas internacionales. La temporada irá hasta el 17 de agosto.",2025-05-31 18:20,/espectaculos/virtuoso-la-fuerza-y-el-arte-masculino-aterrizan-en-lima/
Anna Carina y La Única Tropical presentan “Prohibido” y un nuevo disco cargado de ritmos tropicales,Espectáculos,"La cantautora lanza su álbum “Mi Vicio Eres Tú” y estrena videoclip junto a La Única Tropical. El tema “Prohibido” mezcla pop y cumbia, y ya está disponible en todas las plataformas digitales.",2025-05-31 18:12,/espectaculos/anna-carina-y-la-unica-tropical-presentan-prohibido-y-un-nuevo-disco-cargado-de-ritmos-tropicales/
Madre venezolana atropellada en San Bartolo fue sepultada después de dos semanas ,Policiales,"Familiares de Farías, residentes en Venezuela, participaron simbólicamente del funeral a través de una videollamada.",2025-05-31 17:57,/policiales/madre-venezolana-atropellada-en-san-bartolo-fue-sepultada-despues-de-dos-semanas/
"Claudia Portocarrero reveló por qué terminó con Dilbert Aguilar: ""Cometió ese error""",Espectáculos,La popular 'Ñañita' confesó que el cumbiambero le ocultó una infidelidad y por eso canceló su matrimonio con él.,2025-05-31 17:51,/espectaculos/claudia-portocarrero-revelo-por-que-termino-con-dilbert-aguilar/
Piden impulsar la infraestructura ferroviaria para conectar puertos,Economía,"""No podemos seguir ocupando los últimos lugares en conectividad ferroviaria en la región"", aseguran.",2025-05-31 17:32,/economia/piden-impulsar-la-infraestructura-ferroviaria-para-conectar-puertos/
Un león mata a un hombre en un alojamiento de safari en Namibia,Mundo,La víctima estaba acampando con otros turistas en el complejo cuando se produjo el ataque.,2025-05-31 17:23,/mundo/un-leon-mata-un-hombre-en-un-alojamiento-de-safari-en-namibia-mundo-tragedia/
